company,logo_url,extracted_company_name
Rob Alley,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Ryder.png,2024 Ryder.png
Lauren Cruz,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/JOHNSON-JOHNSON-AES-2022.png,JOHNSON JOHNSON AES 2022.png
Nike Adeoye,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/FEDEX-AES-2022.png,FEDEX AES 2022.png
James Ashley,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/CVS-Health.png,CVS Health.png
Chris Goss,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-Walt-Disney-Imagineering.png,2024 Walt Disney Imagineering.png
Scott Burkey,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/2024-V1-Smurfit-WestRock.png,2024 V1 Smurfit WestRock.png
Michael Welch,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/Albertsons-2024.png,Albertsons 2024.png
Ali Preissinger,https://augmentedenterprisesummit.com/wp-content/uploads/2024/06/2024-American-Airlines.png,2024 American Airlines.png
Kareem Fakhfakh,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/AstraZeneca-2023.png,AstraZeneca
Tomissa Smittendorf,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Kellanova.png,2024 Kellanova.png
Kenney Crooks,https://augmentedenterprisesummit.com/wp-content/uploads/2022/04/NORTHROP-GRUMMAN-AES-2022.png,NORTHROP GRUMMAN AES 2022.png
Randy Burnsworth,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/PORSCHE-AES-2022.png,PORSCHE AES 2022.png
Michael Whatley,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/COCA-COLA-AES-2022.png,COCA COLA AES 2022.png
Trevor Greene,https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/Rivian-2024.png,Rivian 2024.png
Henry Akwa-Mensah,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/WALMART-AES-2022.png,WALMART AES 2022.png
Kevin Marcum,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/delta-2024.png,delta 2024.png
