speaker_name,position,logo_url,extracted_company_name
Rob Alley,Senior Director of Maintenance Training,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Ryder.png,2024 Ryder.png
Lauren Cruz,Sr. Product Manager for XR at Johnson & Johnson Med Tech,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/JOHNSON-JOHNSON-AES-2022.png,JOHNSON JOHNSON AES 2022.png
Nike Adeoye,Advisor - Advanced Technology and Innovation,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/FEDEX-AES-2022.png,FEDEX AES 2022.png
James Ashley,VisionOS Developer,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/CVS-Health.png,CVS Health.png
Chris Goss,Product Executive,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-Walt-Disney-Imagineering.png,2024 Walt Disney Imagineering.png
Scott Burkey,"Technology Fellow, XR",https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/2024-V1-Smurfit-WestRock.png,2024 V1 Smurfit WestRock.png
Michael Welch,"Sr. Director, Product Innovation and 3rd Party Partnerships",https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/Albertsons-2024.png,Albertsons
Ali Preissinger,"Team Lead, Inflight eLearning and Programming",https://augmentedenterprisesummit.com/wp-content/uploads/2024/06/2024-American-Airlines.png,2024 American Airlines.png
Kareem Fakhfakh,Senior Scientist - Bioprocess Technologies and Engineering,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/AstraZeneca-2023.png,AstraZeneca 2023.png
Tomissa Smittendorf,Sr. Director Commercial Capabilities,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Kellanova.png,2024 Kellanova.png
Kenney Crooks,NG Fellow,https://augmentedenterprisesummit.com/wp-content/uploads/2022/04/NORTHROP-GRUMMAN-AES-2022.png,NORTHROP GRUMMAN AES 2022.png
Randy Burnsworth,"Manager, Technical Training",https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/PORSCHE-AES-2022.png,PORSCHE AES 2022.png
Michael Whatley,"Director, Technical Training & Development",https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/COCA-COLA-AES-2022.png,COCA COLA AES 2022.png
Trevor Greene,Lead of Surface Design and Visualization,https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/Rivian-2024.png,Rivian
Henry Akwa-Mensah,"Director, Innovations and Insights",https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/WALMART-AES-2022.png,WALMART AES 2022.png
